,Team_Name,Year,Wins,Losses,WL%
531,Dallas Mavericks,1984,43,39,.524
532,Denver Nuggets,1984,38,44,.463
533,Kansas City Kings,1984,38,44,.463
534,San Antonio Spurs,1984,37,45,.451
535,Houston Rockets,1984,29,53,.354
536,Los Angeles Lakers,1984,54,28,.659
537,Portland Trail Blazers,1984,48,34,.585
538,Seattle SuperSonics,1984,42,40,.512
539,Phoenix Suns,1984,41,41,.500
540,Golden State Warriors,1984,37,45,.451
541,San Diego Clippers,1984,30,52,.366
542,divs_standings_E 1985,1985,W,L,W/L%
543,Boston Celtics,1985,63,19,.768
544,Philadelphia 76ers,1985,58,24,.707
545,New Jersey Nets,1985,42,40,.512
546,Washington Bullets,1985,40,42,.488
547,New York Knicks,1985,24,58,.293
548,Milwaukee Bucks,1985,59,23,.720
549,Detroit Pistons,1985,46,36,.561
550,Chicago Bulls,1985,38,44,.463
551,Cleveland Cavaliers,1985,36,46,.439
552,Atlanta Hawks,1985,34,48,.415
553,Indiana Pacers,1985,22,60,.268
554,divs_standings_W 1985,1985,W,L,W/L%
555,Denver Nuggets,1985,52,30,.634
556,Houston Rockets,1985,48,34,.585
557,Dallas Mavericks,1985,44,38,.537
558,Utah Jazz,1985,41,41,.500
559,San Antonio Spurs,1985,41,41,.500
560,Kansas City Kings,1985,31,51,.378
561,Los Angeles Lakers,1985,62,20,.756
562,Portland Trail Blazers,1985,42,40,.512
563,Phoenix Suns,1985,36,46,.439
564,Seattle SuperSonics,1985,31,51,.378
565,Los Angeles Clippers,1985,31,51,.378
566,Golden State Warriors,1985,22,60,.268
567,divs_standings_E 1986,1986,W,L,W/L%
568,Boston Celtics,1986,67,15,.817
569,Philadelphia 76ers,1986,54,28,.659
570,Washington Bullets,1986,39,43,.476
571,New Jersey Nets,1986,39,43,.476
572,New York Knicks,1986,23,59,.280
573,Milwaukee Bucks,1986,57,25,.695
574,Atlanta Hawks,1986,50,32,.610
575,Detroit Pistons,1986,46,36,.561
576,Chicago Bulls,1986,30,52,.366
577,Cleveland Cavaliers,1986,29,53,.354
578,Indiana Pacers,1986,26,56,.317
579,divs_standings_W 1986,1986,W,L,W/L%
580,Houston Rockets,1986,51,31,.622
581,Denver Nuggets,1986,47,35,.573
582,Dallas Mavericks,1986,44,38,.537
583,Utah Jazz,1986,42,40,.512
584,Sacramento Kings,1986,37,45,.451
585,San Antonio Spurs,1986,35,47,.427
586,Los Angeles Lakers,1986,62,20,.756
587,Portland Trail Blazers,1986,40,42,.488
588,Phoenix Suns,1986,32,50,.390
589,Los Angeles Clippers,1986,32,50,.390
590,Seattle SuperSonics,1986,31,51,.378
591,Golden State Warriors,1986,30,52,.366
592,divs_standings_E 1987,1987,W,L,W/L%
593,Boston Celtics,1987,59,23,.720
594,Philadelphia 76ers,1987,45,37,.549
595,Washington Bullets,1987,42,40,.512
596,New Jersey Nets,1987,24,58,.293
597,New York Knicks,1987,24,58,.293
598,Atlanta Hawks,1987,57,25,.695
599,Detroit Pistons,1987,52,30,.634
600,Milwaukee Bucks,1987,50,32,.610
601,Indiana Pacers,1987,41,41,.500
602,Chicago Bulls,1987,40,42,.488
603,Cleveland Cavaliers,1987,31,51,.378
604,divs_standings_W 1987,1987,W,L,W/L%
605,Dallas Mavericks,1987,55,27,.671
606,Utah Jazz,1987,44,38,.537
607,Houston Rockets,1987,42,40,.512
608,Denver Nuggets,1987,37,45,.451
609,Sacramento Kings,1987,29,53,.354
610,San Antonio Spurs,1987,28,54,.341
611,Los Angeles Lakers,1987,65,17,.793
612,Portland Trail Blazers,1987,49,33,.598
613,Golden State Warriors,1987,42,40,.512
614,Seattle SuperSonics,1987,39,43,.476
615,Phoenix Suns,1987,36,46,.439
616,Los Angeles Clippers,1987,12,70,.146
617,divs_standings_E 1988,1988,W,L,W/L%
618,Boston Celtics,1988,57,25,.695
619,Washington Bullets,1988,38,44,.463
620,New York Knicks,1988,38,44,.463
621,Philadelphia 76ers,1988,36,46,.439
622,New Jersey Nets,1988,19,63,.232
623,Detroit Pistons,1988,54,28,.659
624,Chicago Bulls,1988,50,32,.610
625,Atlanta Hawks,1988,50,32,.610
626,Milwaukee Bucks,1988,42,40,.512
627,Cleveland Cavaliers,1988,42,40,.512
628,Indiana Pacers,1988,38,44,.463
629,divs_standings_W 1988,1988,W,L,W/L%
630,Denver Nuggets,1988,54,28,.659
631,Dallas Mavericks,1988,53,29,.646
632,Utah Jazz,1988,47,35,.573
